hostname,executable,timestamp,PCD_filename,Threshold-F,Decimation-F,depth_to_disparity-F,spatial_filter,temporal_filter,hole_filling_filter,disparity_to_depth-F,Sum RS2 filters,RS2 PC calc. orig.,RS2 PC calc fil.,RS2 PC to PCL orig.,RS2 PC to PCL fil.,sum RS2 depth to PCL (orig.+fil.),sum RS2 depth to PCL (fil. only)
ChrisLegion,./09_realsense_filter,09/29/23 17:57:49.370817152 UTC,PCD not saved to files,3.37072 ms,14.522 ms,14.1831 ms,4.15759 ms,0.804424 ms,0.589905 ms,0.342619 ms,37.9704 ms,29.348 ms,0.579855 ms,45.9906 ms,2.42617 ms,78.3446 ms,3.00602 ms
ChrisLegion,./09_realsense_filter,09/29/23 18:07:27.684681960 UTC,PCD not saved to files,4.38925 ms,17.2444 ms,16.4971 ms,3.88704 ms,0.753176 ms,0.521684 ms,0.295588 ms,43.5884 ms,9.75682 ms,0.551041 ms,33.6852 ms,1.83811 ms,45.8312 ms,2.38915 ms
ChrisLegion,./09_realsense_filter,09/29/23 18:08:07.735301861 UTC,PCD not saved to files,1.35562 ms,15.8891 ms,13.2309 ms,2.37397 ms,0.617123 ms,0.505864 ms,0.312553 ms,34.2852 ms,9.73621 ms,0.561338 ms,25.7856 ms,1.83858 ms,37.9217 ms,2.39992 ms
ChrisLegion,./09_realsense_filter,09/29/23 18:13:33.9022524 UTC,PCD not saved to files,1.84765 ms,14.4744 ms,4.77992 ms,4.55923 ms,0.905858 ms,0.659562 ms,0.370922 ms,27.5976 ms,11.2779 ms,0.594853 ms,27.2437 ms,1.70991 ms,40.8264 ms,2.30476 ms
ChrisLegion,./09_realsense_filter,09/29/23 18:15:34.729458816 UTC,PCD not saved to files,1.5584 ms,14.1515 ms,13.1816 ms,2.33965 ms,0.552835 ms,0.44577 ms,0.263942 ms,32.4937 ms,11.5544 ms,0.706279 ms,29.6646 ms,1.75583 ms,43.6811 ms,2.46211 ms
ChrisLegion,./09_realsense_filter,09/29/23 18:17:13.315332346 UTC,PCD not saved to files,3.90209 ms,18.3826 ms,15.9898 ms,4.94785 ms,0.786348 ms,0.577798 ms,0.324817 ms,44.9115 ms,8.95905 ms,0.66735 ms,26.8243 ms,1.70315 ms,38.1539 ms,2.3705 ms
ChrisLegion,./09_realsense_filter,09/29/23 18:19:08.738219841 UTC,PCD not saved to files,3.70487 ms,17.9018 ms,16.7041 ms,6.84472 ms,1.08498 ms,0.840033 ms,0.503011 ms,47.5836 ms,9.69686 ms,0.622088 ms,27.0394 ms,1.91161 ms,39.27 ms,2.5337 ms
ChrisLegion,./09_realsense_filter,09/30/23 09:10:06.601775067 UTC,20230930_couch_box,3.70303 ms,16.3518 ms,15.6437 ms,3.72173 ms,1.06533 ms,1.15259 ms,0.386642 ms,42.025 ms,9.37088 ms,0.595722 ms,28.0694 ms,2.55807 ms,40.5941 ms,3.1538 ms
ChrisLegion,./09_realsense_filter,09/30/23 09:10:35.391112422 UTC,../files/20230930_couch_box,4.25421 ms,29.6323 ms,15.7655 ms,4.97411 ms,0.826737 ms,0.615051 ms,0.314176 ms,56.3821 ms,10.1247 ms,0.616624 ms,27.9133 ms,1.75229 ms,40.4068 ms,2.36892 ms
ChrisLegion,./09_realsense_filter,09/30/23 09:11:16.952695555 UTC,../files/20230930_couch_box,4.25166 ms,19.016 ms,17.2121 ms,5.00097 ms,1.2024 ms,1.12982 ms,0.412414 ms,48.2255 ms,9.8789 ms,0.878805 ms,25.922 ms,1.83717 ms,38.5168 ms,2.71598 ms
ChrisLegion,./09_realsense_filter,09/30/23 09:12:03.323229056 UTC,../files/20230930_couch_box,4.87151 ms,30.9613 ms,16.2053 ms,4.87394 ms,0.728814 ms,0.556956 ms,0.306142 ms,58.5041 ms,10.2854 ms,0.523309 ms,28.901 ms,1.80282 ms,41.5125 ms,2.32613 ms
ChrisLegion,./09_realsense_filter,09/30/23 09:14:55.345344475 UTC,../files/20230930_couch_box,4.41499 ms,17.1945 ms,16.5801 ms,2.96885 ms,0.873868 ms,0.966836 ms,0.319782 ms,43.3191 ms,13.2473 ms,0.547688 ms,38.6863 ms,3.04937 ms,55.5306 ms,3.59706 ms
ChrisLegion,./09_realsense_filter,09/30/23 09:15:11.387138973 UTC,../files/20230930_couch_box,1.6269 ms,13.7296 ms,26.857 ms,6.30258 ms,1.03397 ms,0.85561 ms,0.402131 ms,50.8078 ms,12.9337 ms,0.592934 ms,25.8785 ms,1.77406 ms,41.1791 ms,2.36699 ms
ChrisLegion,./09_realsense_filter,09/30/23 09:17:17.627775187 UTC,../files/20230930_couch_box_2,1.48652 ms,14.7401 ms,13.6747 ms,2.10026 ms,0.653071 ms,0.859342 ms,0.276778 ms,33.7907 ms,8.32301 ms,0.53966 ms,26.983 ms,1.73732 ms,37.583 ms,2.27698 ms
ChrisLegion,./09_realsense_filter,09/30/23 09:17:33.88529312 UTC,../files/20230930_couch_box_2,4.74873 ms,29.7753 ms,15.849 ms,5.18676 ms,0.824226 ms,0.619058 ms,0.347806 ms,57.3511 ms,10.252 ms,0.536543 ms,27.3803 ms,1.80163 ms,39.9705 ms,2.33817 ms
es-copter,./09_realsense_filter,09/30/23 09:38:44.79167801 UTC,PCD not saved to files,6.6669 ms,8.32651 ms,2.68823 ms,7.19034 ms,2.64922 ms,3.60851 ms,1.68889 ms,32.8186 ms,163.833 ms,6.10975 ms,145.535 ms,10.1124 ms,325.59 ms,16.2221 ms
es-copter,./09_realsense_filter,09/30/23 09:39:14.903486587 UTC,PCD not saved to files,7.819 ms,83.8117 ms,2.85229 ms,19.1623 ms,2.61177 ms,2.41525 ms,1.50024 ms,120.173 ms,165.756 ms,6.00944 ms,145.009 ms,10.1384 ms,326.913 ms,16.1479 ms
es-copter,./09_realsense_filter,09/30/23 09:43:14.524034654 UTC,PCD not saved to files,7.62801 ms,83.4524 ms,2.88282 ms,19.323 ms,2.5938 ms,2.37906 ms,1.48633 ms,119.746 ms,169.359 ms,6.12413 ms,145.647 ms,10.1158 ms,331.246 ms,16.2399 ms
es-copter,./09_realsense_filter,09/30/23 09:43:40.269399299 UTC,../files/20230930_JNano_couch_box,7.45389 ms,8.75668 ms,2.91927 ms,19.3917 ms,2.59854 ms,2.33229 ms,1.54524 ms,44.9977 ms,166.191 ms,6.13564 ms,144.941 ms,10.1696 ms,327.437 ms,16.3052 ms
xavier,./09_realsense_filter,10/01/23 13:44:57.810345895 UTC,PCD not saved to files,25.3134 ms,12.6028 ms,6.14466 ms,26.5228 ms,5.72009 ms,5.72076 ms,3.46251 ms,85.4889 ms,160.406 ms,2.53889 ms,52.4998 ms,7.32447 ms,222.769 ms,9.86336 ms
xavier,./09_realsense_filter,10/01/23 13:45:24.683147271 UTC,PCD not saved to files,13.6879 ms,10.8418 ms,6.19756 ms,19.3778 ms,6.54319 ms,7.78348 ms,2.50622 ms,66.9385 ms,168.889 ms,2.51649 ms,45.869 ms,7.3375 ms,224.612 ms,9.85399 ms
xavier,./09_realsense_filter,10/01/23 13:45:58.946139991 UTC,20231001_09_couch_box,14.3144 ms,80.364 ms,10.0981 ms,26.5953 ms,5.12895 ms,3.94881 ms,2.76567 ms,143.216 ms,160.68 ms,2.65886 ms,40.025 ms,7.27462 ms,210.639 ms,9.93347 ms
xavier,./09_realsense_filter,10/01/23 13:46:27.574946331 UTC,20231001_09_couch_box,11.3295 ms,93.8457 ms,5.69007 ms,21.4992 ms,4.94299 ms,4.20107 ms,2.86906 ms,144.378 ms,149.555 ms,2.14615 ms,45.8314 ms,7.34934 ms,204.882 ms,9.49549 ms
xavier,./09_realsense_filter,10/01/23 13:47:04.743396336 UTC,20231001_09_couch_box,10.1404 ms,93.869 ms,5.65653 ms,16.6817 ms,5.5996 ms,3.70804 ms,2.77735 ms,138.433 ms,152.887 ms,2.44954 ms,43.7646 ms,7.40434 ms,206.506 ms,9.85389 ms
xavier,./09_realsense_filter,10/01/23 13:47:21.427962641 UTC,20231001_09_couch_box,10.6676 ms,94.3793 ms,6.1109 ms,17.1597 ms,5.34315 ms,3.72843 ms,2.71578 ms,140.106 ms,158.655 ms,3.03095 ms,45.697 ms,7.28015 ms,214.663 ms,10.3111 ms
xavier,./09_realsense_filter,10/01/23 14:19:21.483936643 UTC,20231001_../files/09_couch_box_xavier,12.6694 ms,79.6748 ms,9.43874 ms,19.0013 ms,4.88329 ms,3.68261 ms,2.67707 ms,132.029 ms,149.006 ms,2.16955 ms,45.3258 ms,7.2233 ms,203.724 ms,9.39285 ms
xavier,./09_realsense_filter,10/01/23 14:20:41.921608786 UTC,20231001_09_couch_box_xavier,14.6791 ms,79.9432 ms,9.65505 ms,18.4049 ms,5.57942 ms,3.65694 ms,2.67022 ms,134.59 ms,155.004 ms,2.30398 ms,45.5661 ms,7.29479 ms,210.169 ms,9.59877 ms
xavier,./09_realsense_filter,10/01/23 14:30:49.593677066 UTC,PCD not saved to files,20.2587 ms,80.8162 ms,9.81658 ms,18.4731 ms,4.60328 ms,3.70728 ms,2.76564 ms,140.441 ms,156.316 ms,2.17498 ms,46.5616 ms,7.1887 ms,212.242 ms,9.36368 ms
ChrisLegion,./09_realsense_filter,10/01/23 14:38:38.768357520 UTC,20231001_09_couch_box_laptop,1.62343 ms,13.4054 ms,13.0709 ms,2.51828 ms,0.689767 ms,0.72223 ms,0.267714 ms,32.2978 ms,7.9857 ms,0.52389 ms,30.3691 ms,1.63155 ms,40.5102 ms,2.15544 ms
ChrisLegion,./09_realsense_filter,10/01/23 14:38:54.348650121 UTC,20231001_09_couch_box_laptop,1.60955 ms,28.1276 ms,14.7939 ms,5.91913 ms,1.21277 ms,0.879616 ms,0.470547 ms,53.0132 ms,9.81246 ms,0.612661 ms,27.0433 ms,1.7961 ms,39.2645 ms,2.40876 ms
es-copter,./09_realsense_filter,10/01/23 14:49:44.546242512 UTC,20231001_09_couch_box_Nano,7.46765 ms,8.59318 ms,2.64298 ms,14.6702 ms,2.42007 ms,2.55455 ms,1.3011 ms,39.6498 ms,244.868 ms,2.73892 ms,144.579 ms,10.109 ms,402.295 ms,12.8479 ms
es-copter,./09_realsense_filter,10/01/23 14:50:03.347555056 UTC,20231001_09_couch_box_Nano,7.71428 ms,8.63851 ms,2.56731 ms,14.6822 ms,2.43585 ms,2.50382 ms,1.33746 ms,39.8795 ms,159.475 ms,5.80875 ms,146.45 ms,10.1331 ms,321.867 ms,15.9418 ms
es-copter,./09_realsense_filter,10/01/23 14:50:22.868528954 UTC,20231001_09_couch_box_Nano,7.16392 ms,8.64232 ms,2.59174 ms,14.8752 ms,2.40211 ms,2.48231 ms,1.34204 ms,39.4997 ms,163.848 ms,5.81693 ms,145.084 ms,10.207 ms,324.956 ms,16.0239 ms
es-copter,./09_realsense_filter,10/01/23 14:50:47.763814770 UTC,20231001_09_couch_box_Nano,7.93691 ms,9.52276 ms,3.11238 ms,15.3888 ms,2.48487 ms,2.53581 ms,1.34637 ms,42.328 ms,154.408 ms,2.81295 ms,145.906 ms,10.0962 ms,313.223 ms,12.9091 ms
es-copter,./09_realsense_filter,10/01/23 14:51:14.584439508 UTC,20231001_09_couch_box_Nano,7.81796 ms,8.50671 ms,2.55972 ms,14.7633 ms,2.4094 ms,2.50503 ms,1.33111 ms,39.8933 ms,167.538 ms,2.93545 ms,145.882 ms,10.1382 ms,326.494 ms,13.0736 ms
es-copter,./09_realsense_filter,10/01/23 14:51:28.8039639 UTC,20231001_09_couch_box_Nano,7.29727 ms,8.56099 ms,2.67451 ms,14.788 ms,2.38841 ms,2.5331 ms,1.29142 ms,39.5339 ms,168.714 ms,5.83387 ms,146.714 ms,10.0812 ms,331.342 ms,15.915 ms
es-copter,./09_realsense_filter,10/01/23 14:53:37.737752643 UTC,20231001_09_couch_box_Nano,7.8774 ms,8.61855 ms,2.62279 ms,15.208 ms,2.41363 ms,2.47925 ms,1.35945 ms,40.5792 ms,150.58 ms,5.77138 ms,145.456 ms,10.0879 ms,311.895 ms,15.8593 ms
es-copter,./09_realsense_filter,10/01/23 14:53:59.67224403 UTC,20231001_09_couch_box_Nano,7.32637 ms,8.53659 ms,2.70181 ms,15.4147 ms,2.38577 ms,2.49848 ms,1.28518 ms,40.149 ms,153.192 ms,5.78832 ms,145.412 ms,10.1629 ms,314.555 ms,15.9512 ms
ChrisLegion,./09_realsense_filter,10/08/23 15:38:52.268175030 UTC,20231008_09_couch_top_right_legion,4.16211 ms,17.0026 ms,16.4454 ms,8.07993 ms,1.04516 ms,0.936978 ms,0.423759 ms,48.0961 ms,14.8096 ms,0.517204 ms,27.4719 ms,1.80489 ms,44.6036 ms,2.32209 ms
ChrisLegion,./09_realsense_filter,10/08/23 15:39:28.569389220 UTC,20231008_09_couch_top_right_legion,1.60239 ms,13.2312 ms,13.1754 ms,3.95471 ms,0.912795 ms,0.685431 ms,0.375637 ms,33.9376 ms,12.52 ms,0.600308 ms,27.3269 ms,1.64964 ms,42.0969 ms,2.24995 ms
ChrisLegion,./09_realsense_filter,10/08/23 15:40:24.192166842 UTC,20231008_09_couch_middle_legion,4.21585 ms,17.4601 ms,15.3958 ms,4.4245 ms,0.745572 ms,0.572931 ms,0.311882 ms,43.1268 ms,8.32338 ms,0.509742 ms,28.7897 ms,1.66759 ms,39.2904 ms,2.17733 ms
ChrisLegion,./09_realsense_filter,10/08/23 15:40:50.336243096 UTC,20231008_09_couch_middle_legion,4.44111 ms,17.4228 ms,15.6288 ms,4.95308 ms,0.784131 ms,0.555424 ms,0.333751 ms,44.1193 ms,15.735 ms,0.55258 ms,30.3609 ms,1.78161 ms,48.4301 ms,2.33419 ms
ChrisLegion,./09_realsense_filter,10/14/23 10:31:13.806835016 UTC,20231014_09_couch_middle_no_box,3.75803 ms,17.4911 ms,16.7823 ms,3.13408 ms,1.09085 ms,1.24294 ms,0.353701 ms,43.8531 ms,23.313 ms,0.543153 ms,28.9261 ms,1.65706 ms,54.4392 ms,2.20021 ms
ChrisLegion,./09_realsense_filter,10/14/23 10:31:38.276096940 UTC,20231014_09_couch_middle_no_box,5.40561 ms,20.0313 ms,17.9063 ms,6.33964 ms,0.929178 ms,0.876326 ms,0.365998 ms,51.8546 ms,9.75454 ms,0.557079 ms,26.6606 ms,2.18793 ms,39.1602 ms,2.74501 ms
ChrisLegion,./09_realsense_filter,10/14/23 10:32:21.510159124 UTC,PCD not saved to files,4.72085 ms,17.3472 ms,15.8071 ms,3.80915 ms,1.03829 ms,1.04432 ms,0.361993 ms,44.129 ms,10.4822 ms,0.50393 ms,27.5467 ms,2.52267 ms,41.0555 ms,3.0266 ms
